source_user,recommended_user,score
papartook,Heportz,4
papartook,goooodgirl92,4
papartook,Cheertnevis,3
aghdasjoon1360,siiiiamak,7
aghdasjoon1360,ishikhaki,3
aghdasjoon1360,Nazializadh,3
siiiiamak,FIFAWorldCup,3
unkbboy,RealMazi,10
Amir59717159,yaamaashitaa,3
farzanehfelan,nastaranhastamm,3
farzanehfelan,money90094727,3
farzanehfelan,shadit_,3
farzanehfelan,abryshm_j,3
mrzban_tullid,Alighazizade,6
mrzban_tullid,IranIntl,6
mrzban_tullid,pouriazeraati,4
Mashgana,KosenanatMrMusk,5
Mashgana,3amSheyda,4
fa_malekzadeh,sadre3azam,3
fa_malekzadeh,taj_m2,3
roya_f135,moradi1990_28,3
Adel6674759498,Manddddiiiirrrr,6
Adel6674759498,Paribanoo78,3
Abonasrath2,FarsheedArizad,10
Abonasrath2,Almirsad_Pashto,10
FarsheedArizad,Almirsad_Pashto,10
_feelbluealways,rech__official,4
_feelbluealways,ta1506ha,3
_feelbluealways,MissArgon,3
_feelbluealways,CyrusArash,3
freeiranlive,hadimehrane1,10
freeiranlive,fariba_moo,4
hadimehrane1,fariba_moo,3
fc_pedi,parastesh06,10
fc_pedi,AyrikS0n,10
fc_pedi,zhuanism,10
parastesh06,AyrikS0n,10
parastesh06,zhuanism,10
parastesh06,shimballa,10
theprimV,HengawO,5
theprimV,maroofian_n,4
theprimV,RMasool,4
ArianaOracle,MhmdRnany,10
ArianaOracle,sh0wbair_1089,4
ArianaOracle,_Haj_Ahmad_,3
khoshbin89,KambizGhafouri,5
khoshbin89,pizza_facey,3
khoshbin89,Wander1Mystical,3
MahnazShirali,Abbasaliiiiii,5
MahnazShirali,ShirinRtp,3
adel_edalat,Shahriy65862208,3
samifarida22,Entekhab_News,6
samifarida22,DaRadioAzadi,3
fatmederazgisu,zeinabhoseiini,10
deadlyllife,itisblueberryy,6
deadlyllife,ry_rayka,5
deadlyllife,smile_ot8,4
deadlyllife,sti341,3
imnameisrojin,adorableTaemini,10
imnameisrojin,helios6sj,10
Sraa0_0,rooobah_naranji,6
Sraa0_0,m0hadesed,3
Sraa0_0,Thisiskazihero,3
Sraa0_0,The_Nightking7,3
m0hadesed,Thisiskazihero,10
Faraneh54546765,AminehAbbasi,9
Its_Maybe_Abbas,pinkydinkyd00o,10
Its_Maybe_Abbas,da7iiid,10
pinkydinkyd00o,da7iiid,10
itsmeowely,agha_rashti2,10
itsmeowely,occam_razor01,3
itsmeowely,Forii_News,3
agha_rashti2,IranianPlateau,3
_mim_alef_1998_,_Mahdiyar313,10
_mim_alef_1998_,moorrttaazaa,5
callmedoci,MasihDigital,10
callmedoci,heart_whatch,10
MasihDigital,heart_whatch,10
zhra41070857628,seydehmim,10
zhra41070857628,emaad_118,10
zhra41070857628,m22_zahra,6
zhra41070857628,ahmadmoshalab,4
seydehmim,emaad_118,10
seydehmim,ahmadmoshalab,6
seydehmim,m22_zahra,4
seydehmim,mewu7782,4
Yousef_sz1996,Aburrrida901903,10
Yousef_sz1996,soormeh,5
Yousef_sz1996,SKhordan,3
Aburrrida901903,soormeh,4
Aburrrida901903,SKhordan,4
ahmad_yosefiii,AliDeveloop,7
ahmad_yosefiii,phatii_sh,4
ahmad_yosefiii,armin32671670,3
ahmad_yosefiii,khanom_hd,3
ahmad_yosefiii,LadySahar25,3
ahmad_yosefiii,m_sad_mind,3
AliDeveloop,armin32671670,6
AliDeveloop,khanom_hd,6
AliDeveloop,phatii_sh,4
bald_oldman1,yeomieol,6
bald_oldman1,badookbal,6
bald_oldman1,manamman78,5
bald_oldman1,Hyoppo113265,3
bald_oldman1,YeomJang_Pirate,3
yeomieol,badookbal,10
yeomieol,Hyoppo113265,6
yeomieol,YeomJang_Pirate,4
semiramiss1982,Hqkaya,5
semiramiss1982,Moj_krm,4
semiramiss1982,MahtajS,3
Mahooolak,Rose__winee,4
Mahooolak,ali_shakeri_k,4
DrFalange,MaryamToghraei1,5
FanTvd_baran,little_doctor3,10
arash_gh1992,Solid_Snake1990,4
MRastegar156935,pesarkhaaleh2,11
MRastegar156935,azisad368,3
MRastegar156935,Elbaredaa,3
MRastegar156935,Itnotsamin,3
MRastegar156935,r_banoo,3
pesarkhaaleh2,r_banoo,3
IranAzad54321,InfoMansour,3
IranAzad54321,esmaeilion,3
IranAzad54321,ggehhry2,3
hosseindehbashi,swilkinsonbc,4
hosseindehbashi,bbcpersian,3
HerawiMaaz77608,TakalYahya,10
WeKanon,K_alef_F,6
WeKanon,Setareh7192,4
WeKanon,payekareto,4
Setareh7192,payekareto,10
Setareh7192,shabdoust,4
Setareh7192,irani_men,3
amirhsk128,ayda_fs,4
amirhsk128,sadat_s_25,3
amirhsk128,sda_ashkezar,3
amirhsk128,melikapfd,3
amirhsk128,dokht_bahar105,3
sadat_s_25,sda_ashkezar,10
sadat_s_25,melikapfd,10
sadat_s_25,duzlikiz,10
SmaeeliA,AmirHossein171,10
SmaeeliA,Mahnaznd,10
SmaeeliA,sogoli8287,4
SmaeeliA,SahandSh3,3
SmaeeliA,sinisterrella,3
AmirHossein171,Mahnaznd,12
AmirHossein171,Nani_9397,4
AmirHossein171,sogoli8287,3
AmirHossein171,chikichikiiland,3
AradParsi2,ayyarom,10
ayyarom,alikarimi_ak8,3
Falcon5475,iranvatanam97,4
Falcon5475,Lonely___gamer,3
alin_asr,Helia35835907,5
alin_asr,sara_0s057,5
alin_asr,MohammadSaam_M,5
sara_0s057,MohammadSaam_M,10
sara_0s057,zeinab98ak,3
sara_0s057,Avin_1368,3
