source,target,weight
nullity_74,_Waleed_Hamid,1
Ahmadaghoo_mola,muhammadytabar,1
denissssss88,mhashemi85,1
Wander1Mystical,silen16492,1
stysh_mhru,3edi00,1
jimmydeputy,reyreyhm,1
SAA_IRAN,mostafa_jalali1,1
Ariyas05,newfolder1395,1
Rojalotfi,Timesofgaza,1
Alirezabstar,farinzsz,1
inazkam,MyMazinLife,1
Enghellabii,Morteza22111362,1
mahsa_brz,tinwsii,1
Behrouzjt,ManotoNews,1
dokhi_856,hmklasy,1
zhrakh4,hssaremi,1
KASEBIM,hoomaan1981,1
Kulaabi,Awista_parsi,1
Babak932,Hooman20951361,1
humphry7319,pasarga02478602,1
_7_Dream,7MyYou,1
sajad_mom67,behrad000,1
Safiull00174742,SALHACHIMI,1
unchyid,Dokhteyaldaa,1
figcomplexity,abdolah_abdi,1
Ebrahimrashid20,AliDoustkam9,1
IranRevolu,a_baby_hamster,1
moeinoo11,mim_tanbal,1
sasha1386s,Alireza7553,1
AminMor92357667,Afshar070239441,1
bahavalada,contmamad66,1
Alidesuka,butterfly17150,1
KavehFaryadgar,EkraniSam,1
littlebl4ckfish,Alithenumb,1
_sabzii,saba_hastam,1
banooy_fal,0QL7qqzMNb79999,1
Haq_Helmandi,Haq_Helmandi,4
BlackMetalVVV,ianbremmer,1
Smvahedi,DrSingleMinded,1
antidagouri,googleplayyou,1
ishikhaki,KimJongUnArabic,1
mrskinone,Moj13043451,1
swrs22974409,AsgharSepehri,1
MuradyDiako,AsgharSepehri,1
Amir54i,gembelak,1
masoud_bazmara,janjani_1370,1
ali_m_ctu,heart_mekanik,1
Sohrab_hamzeh,faatemamm,1
fakhte_9_8,Mamad_Gomshode,1
Fsociety001_,sadeghZibakalam,1
mmhhkk2016,Qorabam,1
trnmmeow,shafiemobina,1
pangul098765,MilaDnu,1
Samiise7en,yasaminist,1
SGhasseminejad,FereydounJRL,7
yahyajann,rasmou,1
mhk2245,montazar_kamali,1
aqaye_khani,ContextPersian,1
im3aghar,Mobina826704875,1
nakhalaf_yaaghy,farnaz52319991,1
BalaJigar202,baba_panjali_,1
Ebne_noah,Ebne_noah,63
meemalefnoon,arashjfry,1
Abolfazlbh_313,Sareh3419,1
NazibaGhoo,MirdamadiSeraj,1
omidhosseini80,sadeghZibakalam,1
zhrakh4,amka429,1
morchekhan,NasadqK,1
RezaFumani,Alighazizade,1
Redligh41124881,EhsanPanjShery,1
eli_9391,Aa_10_6,1
naanaynayy,amoyepesarshoja,1
Swifticat,mrrasti2000,1
Mikhak_Noghrei,royal_flush_666,1
ABazmandgan,vidarwarrior,1
brrnntte,Yvette_Avaa,1
callmemahshid,NL_Times,1
Noousernam,shakhenabat19,1
shyn43949244,Ana54580,1
mahdi_yaram,goollbanoo,1
shekafande3398,shekafande3398,1
Hoshgelle,meenjeey,1
SilmaethDante,didi_dekster,1
S_R0985,MaralBahreman,1
khodealizaa,13javad81,1
gugaliraft,sabeti_twt,1
Mahjabien,YasiPatriot,1
atenaatena15,totfarangivip,1
m_kamaliii,m_kamaliii,4
Xman1Simon,Xman1Simon,55
iranyoum,a_alegry,1
hiddenarmy9,mohamma56686833,1
behzadbahaal,mojtaba643,1
Alireza_900,Plasticartman,1
HNO3nazi,smm7698,1
AradParsi2,AradParsi2,1
missAFG1972,ExileTVNetwork,1
minorhypernova,pynnvb,1
Hermionsaphira7,NR2OH,1
ABEYE23,girl_darkness13,1
Sammmhstm,Anushamirdamadi,1
m_alizaee,alhasany2223,1
littlbird2,CUTTER_4,1
Barbad_Golshiri,ArtCultureAct,1
S_9403,Me_Hamed_Myself,1
Golzadeh64Ehsan,HezbollahMedia,1
